RELEASE_DATE,TICKER,NAME,ACTUAL_RELEASE,ECO_RELEASE_DT,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_HIGH,BN_SURVEY_LOW,FORECAST_STANDARD_DEVIATION,BN_SURVEY_NUMBER_OBSERVATIONS,RELEVANCE_VALUE,SURPRISES,ZSCORE
2000-01-13 00:00:00,INJCJC Index,US Initial Jobless Claims SA,309,20000113,300,302.3,325,280,12.0,23,97.6378,9,0.75
2000-01-20 00:00:00,INJCJC Index,US Initial Jobless Claims SA,272,20000120,295,293.6,310,284,6.0,23,97.6378,-23,-3.8333333333333335
2000-01-20 00:00:00,OUTFGAF Index,Philadelphia Fed Business Outlook Survey Diffusion Index General Conditions,9.1,20000120,12,11.73,18,4.2,3.2,28,77.4803,-2.9000000000000004,-0.9062500000000001
2000-01-25 00:00:00,CONCCONF Index,Conference Board Consumer Confidence SA 1985=100,144.7,20000125,142.5,142.13,147,138,1.8,35,93.7008,2.1999999999999886,1.2222222222222159
2000-01-27 00:00:00,INJCJC Index,US Initial Jobless Claims SA,266,20000127,276,276.5,290,260,8.0,25,97.6378,-10,-1.25
2000-01-28 00:00:00,CONSSENT Index,University of Michigan Consumer Sentiment Index,112,20000128,111.4,111.3,113,110,0.6,16,92.9134,0.5999999999999943,0.9999999999999906
2000-01-31 00:00:00,CHPMINDX Index,Market News International Chicago Business Barometer SA,55.6,20000131,55,55.2,58,52,1.4,23,81.1024,0.6000000000000014,0.4285714285714296
2000-02-01 00:00:00,NAPMPMI Index,ISM Manufacturing PMI SA,56.3,20000201,56,54.7,57.5,0,0.9,38,94.4882,0.29999999999999716,0.33333333333333015
2000-02-02 00:00:00,FDTR Index,Federal Funds Target Rate - Upper Bound,5.75,20000202,6,6,6,6,,50,96.8504,-0.25,
2000-02-03 00:00:00,INJCJC Index,US Initial Jobless Claims SA,274,20000203,270,271.2,286,250,8.0,25,97.6378,4,0.5
2000-02-04 00:00:00,USURTOT Index,U-3 US Unemployment Rate Total in Labor Force Seasonally Adjusted,4,20000204,4,4,4.2,3.9,0.1,41,87.4016,0,0.0
2000-02-04 00:00:00,USMMMNCH Index,US Employees on Nonfarm Payrolls Manufacturing Industry Monthly Net Change SA,13,20000204,2,2,10,-15,9.0,6,68.8976,11,1.2222222222222223
2000-02-04 00:00:00,NFP TCH Index,US Employees on Nonfarm Payrolls Total MoM Net Change SA,387,20000204,260,265,400,170,45.0,41,98.4252,127,2.8222222222222224
2000-02-10 00:00:00,INJCJC Index,US Initial Jobless Claims SA,301,20000210,275,275.3,284,255,6.0,25,97.6378,26,4.333333333333333
2000-02-15 00:00:00,CPTICHNG Index,US Capacity Utilization % of Total Capacity SA,81.6,20000215,81.5,81.5256,81.8,81,0.1,43,63.7795,0.09999999999999432,0.9999999999999432
2000-02-15 00:00:00,IP CHNG Index,US Industrial Production MOM SA,1,20000215,0.6,0.57,0.9,0.2,0.1,44,90.0,0.4,4.0
2000-02-16 00:00:00,IMP1CHNG Index,US Import Price Index by End Use All MoM NSA,0.1,20000216,0.5,0.5,0.9,0,0.2,14,76.8504,-0.4,-2.0
2000-02-17 00:00:00,INJCJC Index,US Initial Jobless Claims SA,283,20000217,280,284.8,305,275,8.0,21,97.6378,3,0.375
2000-02-17 00:00:00,OUTFGAF Index,Philadelphia Fed Business Outlook Survey Diffusion Index General Conditions,13.3,20000217,12,11.04,15,5,2.4,27,77.4803,1.3000000000000007,0.541666666666667
2000-02-18 00:00:00,CPI CHNG Index,US CPI Urban Consumers MoM SA,0.2,20000218,0.3,0.3,0.3,0.1,0.1,37,95.2756,-0.09999999999999998,-0.9999999999999998
2000-02-18 00:00:00,CPURNSA Index,US CPI Urban Consumers NSA,168.7,20000218,,,,,,0,36.2205,,
2000-02-18 00:00:00,CPUPXCHG Index,US CPI Urban Consumers Less Food & Energy MoM SA,0.2,20000218,0.2,0.2,0.3,0.1,,43,76.378,0.0,
2000-02-18 00:00:00,FDDSSD Index,US Treasury Federal Budget Debt Summary Deficit Or Surplus NSA,62.2,20000218,58.25,57.511,75,40,7.3,28,75.5906,3.950000000000003,0.5410958904109593
2000-02-24 00:00:00,INJCJC Index,US Initial Jobless Claims SA,278,20000224,285,283.5,295,275,4.0,22,97.6378,-7,-1.75
2000-02-24 00:00:00,DGNOCHNG Index,US Durable Goods New Orders Industries MoM SA,-1.3,20000224,-2,-1.7,3.2,-4,1.5,37,91.3386,0.7,0.4666666666666666
2000-02-29 00:00:00,CONCCONF Index,Conference Board Consumer Confidence SA 1985=100,141.8,20000229,143,143.02,145.8,140,1.4,36,93.7008,-1.1999999999999886,-0.8571428571428491
2000-02-29 00:00:00,CHPMINDX Index,Market News International Chicago Business Barometer SA,56.7,20000229,56,56.1,58.5,54,0.9,25,81.1024,0.7000000000000028,0.7777777777777809
2000-03-01 00:00:00,NAPMPMI Index,ISM Manufacturing PMI SA,56.9,20000301,56.5,56.3,58,54,0.7,42,94.4882,0.3999999999999986,0.5714285714285694
2000-03-02 00:00:00,INJCJC Index,US Initial Jobless Claims SA,275,20000302,280,279.5,285,268,4.0,26,97.6378,-5,-1.25
2000-03-02 00:00:00,NHSLTOT Index,US New One Family Houses Sold Annual Total SAAR,882,20000302,890,888.49,912,835,18.0,41,92.3077,-8,-0.4444444444444444
2000-03-02 00:00:00,LEI CHNG Index,Conference Board US Leading Index MoM,0.3,20000302,0.2,0.2,0.3,-0.4,0.1,34,82.6772,0.09999999999999998,0.9999999999999998
2000-03-03 00:00:00,USMMMNCH Index,US Employees on Nonfarm Payrolls Manufacturing Industry Monthly Net Change SA,5,20000303,7,5,10,-5,5.0,5,68.8976,-2,-0.4
2000-03-03 00:00:00,USURTOT Index,U-3 US Unemployment Rate Total in Labor Force Seasonally Adjusted,4.1,20000303,4,4,4.1,3.9,,42,87.4016,0.09999999999999964,
2000-03-03 00:00:00,TMNOCHNG Index,US Manufacturers New Orders Total MoM SA,-1.1,20000303,-0.5,-0.6,0.3,-1.7,0.3,37,84.252,-0.6000000000000001,-2.0000000000000004
2000-03-03 00:00:00,CONSSENT Index,University of Michigan Consumer Sentiment Index,111.3,20000303,111.2,111.1,114,109,1.1,19,92.9134,0.09999999999999432,0.09090909090908574
2000-03-03 00:00:00,NFP TCH Index,US Employees on Nonfarm Payrolls Total MoM Net Change SA,43,20000303,213,214,325,100,39.0,42,98.4252,-170,-4.358974358974359
2000-03-07 00:00:00,CICRTOT Index,Federal Reserve Consumer Credit Total Net Change SA,17,20000307,8,7.736,15,3.2,2.411,33,38.5827,9,3.732890916632103
